County,Older > 65,Younger < 18
Barnstable,24.96,17.25
Berkshire,18.58,19.53
Bristol,14.20,22.33
Dukes,16.32,19.19
Essex,14.14,23.16
Franklin,15.24,19.71
Hampden,14.18,23.71
Hampshire,12.67,16.93
Middlesex,13.11,21.32
Nantucket,12.06,20.72
Norfolk,14.50,22.68
Plymouth,13.91,24.14
Suffolk,10.49,17.49
Worcester,12.78,23.45
